comm_id,account_id,comm_date,channel,duration_minutes,outcome,conc_compliant_script_used,agent
COM000001,DC100002,28-02-2026,Email,,Left Voicemail,Y,Francis S.
COM000002,DC100002,2026-03-30,outbound call,8.6,Left Voicemail,Y,Dorothy D.
COM000003,DC100003,2025-09-28,Inbound Call,0.5,Payment Arranged,Unknown,Deborah W.
COM000004,DC100003,31/01/2026,outbound call,10.3,Disputed Debt,Y,Janet F.
COM000005,DC100004,26-12-2024,SMS,,Requested Callback,Y,Charlotte H.
COM000006,DC100004,2025-03-20,Email,,,Y,Keith F.
COM000007,DC100006,2025-07-25,Call,16.1,Requested Callback,Y,Richard P.
COM000008,DC100006,2026-05-04,Call,15.6,Left Voicemail,Y,Gary P.
COM000009,DC100006,2025-07-27,Call,2.6,Disputed Debt,Y,William B.
COM000010,DC100007,2025-10-30,Inbound Call,17.5,Complaint Raised,Y,Billy Y.
COM000011,DC100008,05/23/2024,Letter,,Refused to Pay,Y,Danny H.
COM000012,DC100008,2024-02-16,outbound call,9.5,Call Dropped,Y,Jane G.
COM000013,DC100008,18-07-2025,Call,2.9,Customer Confirmed Vulnerability,Y,Harriet B.
COM000014,DC100008,2024-01-27,Email,,Disputed Debt,Y,Carole W.
COM000015,DC100008,2025-02-22,Call,1.7,DSAR Request Logged,Y,Jemma A.
COM000016,DC100009,30/09/2025,outbound call,10.6,Complaint Raised,Y,Laura Q.
COM000017,DC100010,2026-02-24,SMS,,Disputed Debt,Unknown,Andrew B.
COM000018,DC100011,20/02/2025,Letter,,Left Voicemail,Y,June W.
COM000019,DC100011,2025-06-03,Inbound Call,20.5,Refused to Pay,Y,Ben T.
COM000020,DC100014,2026-04-07,SMS,,Requested Callback,Y,Victoria D.
COM000021,DC100014,02-05-2026,Email,,,Y,Jodie K.
COM000022,DC100014,2026-06-29,Outbound Call,20.8,DSAR Request Logged,Y,Jack D.
COM000023,DC100015,2024-09-16,Email,,Requested Callback,Y,Abigail W.
COM000024,DC100015,24/04/2024,Call,18.8,,Y,Elaine P.
COM000025,DC100015,2025-04-04,Call,14.6,No Answer,Y,Anthony R.
COM000026,DC100015,2025-03-28,Call,21.3,Requested Callback,Y,Anna H.
COM000027,DC100015,2025-06-27,Inbound Call,16.7,,Unknown,Mandy R.
COM000028,DC100015,27/04/2024,outbound call,2.2,Payment Arranged,Y,Marcus B.
COM000029,DC100015,08/10/2024,outbound call,14.8,Customer Confirmed Vulnerability,Y,Judith D.
COM000030,DC100016,2026-01-31,Email,,Customer Confirmed Vulnerability,Y,Gordon R.
COM000031,DC100016,2025-02-10,Outbound Call,18.3,DSAR Request Logged,Y,Sandra B.
COM000032,DC100017,2026-07-09,Outbound Call,10.0,Payment Arranged,Y,Terry E.
COM000033,DC100018,2026-08-09,Call,17.8,Payment Arranged,Y,Reece W.
COM000034,DC100020,18/04/2024,Call,21.5,Wrong Number,Y,Paige B.
COM000035,DC100020,2025-04-02,Call,13.3,Complaint Raised,Y,Gillian B.
COM000036,DC100020,25-03-2025,outbound call,9.6,No Answer,Y,Roger D.
COM000037,DC100021,2024-10-06,SMS,,DSAR Request Logged,Y,Ben S.
