payment_id,account_id,payment_date,amount,payment_method,payment_status
PMT000001,DC100001,2026-08-16,84.74,Bank Transfer,Cleared
PMT000002,DC100001,08/06/2026,300.05,Cheque,Cleared
PMT000003,DC100003,2026-06-13,150.47,Direct Debit,Cleared
PMT000004,DC100003,10/09/2026,36.97,DEBIT CARD,Cleared
PMT000005,DC100005,2026-07-29,16.28,debit card,Cleared
PMT000006,DC100005,2026-03-26,461.73,Cheque,Cleared
PMT000007,DC100007,2024-05-30,321.23,Debit Card,Cleared
PMT000008,DC100007,2026-02-11,243.12,Standing Order,Cleared
PMT000009,DC100007,2025-01-31,390.27,DEBIT CARD,Cleared
PMT000010,DC100007,2025-08-27,466.9,Card,Failed
PMT000011,DC100007,2025-12-16,7.64,Card,Cleared
PMT000012,DC100008,09-08-2026,185.58,Bank Transfer,Cleared
PMT000013,DC100010,2025-12-30,128.35,Card,Failed
PMT000014,DC100012,2026-08-29,203.9,Standing Order,Cleared
PMT000015,DC100013,2024-12-16,274.54,Debit Card,Cleared
PMT000016,DC100013,2024-07-20,49.85,Cash,Cleared
PMT000017,DC100013,2024-07-03,43.17,Card,Cleared
PMT000018,DC100013,2024-04-10,32.23,DEBIT CARD,Pending
PMT000019,DC100013,2025-07-25,108.96,Standing Order,Cleared
PMT000020,DC100013,2024-03-20,21.16,debit card,Cleared
PMT000021,DC100014,2025-12-25,106.79,Debit Card,Cleared
PMT000022,DC100014,2025-04-24,185.93,Debit Card,Cleared
PMT000023,DC100014,2026-07-07,7.19,Direct Debit,Cleared
PMT000024,DC100014,09/02/2025,32.17,Bank Transfer,Cleared
PMT000025,DC100015,18/06/2025,219.46,DEBIT CARD,Failed
PMT000026,DC100016,31/07/2026,18.91,Direct Debit,Failed
PMT000027,DC100019,2025-11-07,34.29,Cheque,Cleared
PMT000028,DC100020,03/11/2025,383.04,Cash,Cleared
PMT000029,DC100020,2024-10-27,488.32,debit card,Cleared
PMT000030,DC100020,11/06/2026,453.35,Standing Order,Cleared
PMT000031,DC100020,02/11/2024,341.6,Card,Failed
PMT000032,DC100021,2025-04-09,12.01,debit card,Pending
PMT000033,DC100021,2025-03-03,421.66,Direct Debit,Cleared
